FeedbackID,CustomerID,Month,SatisfactionScore,Complaints
F00701,C0110,Dec,9,0
F00702,C0110,Aug,8,2
F00703,C0110,Jan,9,1
F00704,C0110,Sep,8,2
F00705,C0110,May,6,2
F00706,C0110,Mar,6,2
F00707,C0111,Sep,1,7
F00708,C0111,Feb,4,7
F00709,C0111,Dec,2,9
F00710,C0111,Mar,1,9
F00711,C0112,May,8,1
F00712,C0112,Aug,9,0
F00713,C0112,Nov,9,2
F00714,C0112,Mar,8,0
F00715,C0112,Jun,9,0
F00716,C0112,Jan,6,0
F00717,C0112,Feb,8,1
F00718,C0113,May,7,2
F00719,C0113,Apr,8,2
F00720,C0113,Oct,7,0
F00721,C0113,Jun,7,0
F00722,C0113,Aug,8,0
F00723,C0114,Jan,7,2
F00724,C0114,Sep,8,0
F00725,C0114,Oct,8,1
F00726,C0114,Dec,7,2
F00727,C0115,Apr,7,0
F00728,C0115,May,8,0
F00729,C0115,Mar,7,1
F00730,C0115,Jul,6,1
F00731,C0115,Nov,6,1
F00732,C0116,Jul,2,4
F00733,C0116,Jan,4,7
F00734,C0116,Aug,1,3
F00735,C0116,Oct,2,7
F00736,C0116,Dec,1,4
F00737,C0117,Feb,9,0
F00738,C0117,Aug,7,0
F00739,C0117,Oct,8,1
F00740,C0117,Jun,8,2
F00741,C0117,Sep,6,1
F00742,C0118,Jan,6,1
F00743,C0118,Jul,8,1
F00744,C0118,Nov,6,1
F00745,C0118,Oct,8,0
F00746,C0119,Nov,1,5
F00747,C0119,Dec,3,3
F00748,C0119,Jul,2,9
F00749,C0119,Aug,2,4
F00750,C0120,Jan,6,2
F00751,C0120,Mar,7,2
F00752,C0120,Sep,8,1
F00753,C0120,Nov,9,0
F00754,C0120,Oct,9,0
F00755,C0120,Jun,7,2
F00756,C0120,Apr,7,2
F00757,C0120,Dec,7,1
F00758,C0121,Mar,8,1
F00759,C0121,Jan,8,1
F00760,C0121,Aug,8,0
F00761,C0121,Apr,6,1
F00762,C0122,Aug,6,2
F00763,C0122,Jan,9,2
F00764,C0122,Mar,7,0
F00765,C0122,Jul,6,0
F00766,C0123,Apr,9,1
F00767,C0123,Feb,9,0
F00768,C0123,Jul,6,1
F00769,C0123,Nov,9,1
F00770,C0123,Sep,8,0
F00771,C0123,Dec,8,2
F00772,C0124,Jun,7,0
F00773,C0124,Oct,7,0
F00774,C0124,Feb,7,2
F00775,C0124,Aug,6,2
F00776,C0124,Sep,6,2
F00777,C0124,Dec,9,1
F00778,C0124,May,6,0
F00779,C0124,Nov,7,1
F00780,C0125,Dec,8,0
F00781,C0125,Nov,8,1
F00782,C0125,May,8,2
F00783,C0125,Jun,7,2
F00784,C0125,Aug,6,2
F00785,C0126,Nov,6,0
F00786,C0126,Jan,7,1
F00787,C0126,Apr,8,0
F00788,C0126,Mar,9,1
F00789,C0126,Dec,8,0
F00790,C0126,Feb,9,1
F00791,C0126,Jun,7,1
F00792,C0127,May,8,0
F00793,C0127,Sep,8,1
F00794,C0127,Aug,9,2
F00795,C0127,Feb,9,2
F00796,C0127,Dec,6,2
F00797,C0127,Jun,8,2
F00798,C0127,Oct,8,0
F00799,C0127,Mar,8,1
F00800,C0128,Sep,9,0
F00801,C0128,Mar,6,2
F00802,C0128,Feb,8,0
F00803,C0128,Apr,8,1
F00804,C0129,Jul,7,0
F00805,C0129,Sep,7,0
F00806,C0129,Feb,7,2
F00807,C0129,Nov,8,2
F00808,C0129,Mar,7,2
F00809,C0129,Apr,6,2
F00810,C0129,May,8,2
F00811,C0130,Dec,1,8
F00812,C0130,Sep,2,8
F00813,C0130,Mar,2,9
F00814,C0130,Jun,2,7
F00815,C0130,Oct,4,9
F00816,C0131,May,4,6
F00817,C0131,Jan,4,5
F00818,C0131,Jul,2,8
F00819,C0131,Dec,3,3
F00820,C0131,Oct,1,5
F00821,C0132,Nov,2,6
F00822,C0132,May,2,9
F00823,C0132,Apr,2,6
F00824,C0132,Feb,2,8
F00825,C0132,Jan,4,6
F00826,C0132,Jul,2,4
F00827,C0132,Oct,3,3
F00828,C0132,Sep,2,5
F00829,C0133,Jul,4,4
F00830,C0133,Feb,3,9
F00831,C0133,Oct,3,3
F00832,C0133,Mar,1,7
F00833,C0133,Apr,3,7
F00834,C0134,Nov,9,1
F00835,C0134,Oct,6,2
F00836,C0134,Aug,9,0
F00837,C0134,Apr,6,2
F00838,C0135,May,9,1
F00839,C0135,Jan,7,2
F00840,C0135,Jul,9,1
F00841,C0135,Dec,7,2
F00842,C0135,Feb,6,0
F00843,C0135,Jun,8,0
F00844,C0136,Dec,3,5
F00845,C0136,Jul,3,6
F00846,C0136,Nov,3,5
F00847,C0136,Jan,1,3
F00848,C0136,Feb,1,8
F00849,C0136,Oct,4,4
F00850,C0136,Mar,4,4
F00851,C0137,Jul,9,2
F00852,C0137,Nov,9,0
F00853,C0137,May,6,2
F00854,C0137,Feb,6,2
F00855,C0137,Aug,6,0
F00856,C0137,Oct,7,1
F00857,C0137,Dec,9,1
F00858,C0137,Jun,6,1
F00859,C0138,Aug,9,2
F00860,C0138,Oct,6,0
F00861,C0138,Sep,7,0
F00862,C0138,Jan,8,0
F00863,C0138,Jul,8,1
F00864,C0138,Dec,6,2
F00865,C0138,Jun,9,1
F00866,C0139,Nov,6,1
F00867,C0139,Jun,9,2
F00868,C0139,Dec,8,0
F00869,C0139,Apr,7,2
F00870,C0139,May,8,2
F00871,C0139,Sep,9,1
F00872,C0140,Aug,3,9
F00873,C0140,Feb,3,3
F00874,C0140,Jun,1,8
F00875,C0140,Oct,4,5
F00876,C0140,Apr,4,8
F00877,C0141,Jul,3,9
F00878,C0141,Apr,4,5
F00879,C0141,May,2,4
F00880,C0141,Aug,3,3
F00881,C0141,Jun,1,4
