UsageID,CustomerID,Month,CallMinutes,DataUsage,MessagesSent
U00116,C0010,Aug,860,33,44
U00117,C0010,Sep,499,21,53
U00118,C0010,Oct,793,44,50
U00119,C0010,Nov,563,38,71
U00120,C0010,Dec,720,30,83
U00121,C0011,Jan,563,49,67
U00122,C0011,Feb,878,49,54
U00123,C0011,Mar,909,19,40
U00124,C0011,Apr,802,50,64
U00125,C0011,May,646,31,72
U00126,C0011,Jun,761,21,38
U00127,C0011,Jul,688,49,73
U00128,C0011,Aug,881,36,69
U00129,C0011,Sep,408,24,62
U00130,C0011,Oct,537,34,81
U00131,C0011,Nov,774,43,58
U00132,C0011,Dec,446,43,38
U00133,C0012,Jan,599,41,70
U00134,C0012,Feb,695,22,59
U00135,C0012,Mar,916,46,83
U00136,C0012,Apr,686,25,43
U00137,C0012,May,499,43,58
U00138,C0012,Jun,747,53,58
U00139,C0012,Jul,547,30,73
U00140,C0012,Aug,921,43,67
U00141,C0012,Sep,441,20,37
U00142,C0012,Oct,540,39,86
U00143,C0012,Nov,885,51,64
U00144,C0012,Dec,552,50,43
U00145,C0013,Jan,163,85,8
U00146,C0013,Feb,180,84,13
U00147,C0013,Mar,209,97,20
U00148,C0013,Apr,205,84,18
U00149,C0013,May,288,66,14
U00150,C0013,Jun,164,72,16
U00151,C0013,Jul,229,84,3
U00152,C0013,Aug,232,95,11
U00153,C0013,Sep,247,79,4
U00154,C0013,Oct,229,95,8
U00155,C0013,Nov,214,89,7
U00156,C0013,Dec,290,80,4
U00157,C0014,Jan,512,30,36
U00158,C0014,Feb,851,38,61
U00159,C0014,Mar,555,44,79
U00160,C0014,Apr,608,44,67
U00161,C0014,May,882,21,80
U00162,C0014,Jun,541,51,48
U00163,C0014,Jul,732,48,68
U00164,C0014,Aug,785,38,46
U00165,C0014,Sep,870,52,56
U00166,C0014,Oct,762,34,74
U00167,C0014,Nov,895,30,50
U00168,C0014,Dec,685,53,54
U00169,C0015,Jan,630,37,84
U00170,C0015,Feb,695,31,79
U00171,C0015,Mar,900,38,65
U00172,C0015,Apr,757,53,85
U00173,C0015,May,680,36,42
U00174,C0015,Jun,788,43,87
U00175,C0015,Jul,753,27,53
U00176,C0015,Aug,443,36,80
U00177,C0015,Sep,480,40,63
U00178,C0015,Oct,662,48,48
U00179,C0015,Nov,606,52,52
U00180,C0015,Dec,678,26,41
U00181,C0016,Jan,237,80,10
U00182,C0016,Feb,92,98,10
U00183,C0016,Mar,243,79,4
U00184,C0016,Apr,105,91,13
U00185,C0016,May,263,95,6
U00186,C0016,Jun,254,73,3
U00187,C0016,Jul,220,75,16
U00188,C0016,Aug,247,95,18
U00189,C0016,Sep,246,77,12
U00190,C0016,Oct,162,83,4
U00191,C0016,Nov,276,70,10
U00192,C0016,Dec,216,67,8
U00193,C0017,Jan,827,29,37
U00194,C0017,Feb,806,49,46
U00195,C0017,Mar,696,20,35
U00196,C0017,Apr,705,54,73
U00197,C0017,May,509,39,53
U00198,C0017,Jun,865,52,68
U00199,C0017,Jul,905,26,89
U00200,C0017,Aug,916,47,52
U00201,C0017,Sep,597,25,56
U00202,C0017,Oct,566,47,76
U00203,C0017,Nov,663,29,35
U00204,C0017,Dec,745,36,71
U00205,C0018,Jan,252,77,8
U00206,C0018,Feb,236,90,16
U00207,C0018,Mar,211,85,5
U00208,C0018,Apr,182,71,8
U00209,C0018,May,115,95,13
U00210,C0018,Jun,143,65,11
U00211,C0018,Jul,178,80,17
U00212,C0018,Aug,272,82,13
U00213,C0018,Sep,157,65,11
U00214,C0018,Oct,247,88,10
U00215,C0018,Nov,95,72,17
U00216,C0018,Dec,158,75,15
U00217,C0019,Jan,914,37,79
U00218,C0019,Feb,520,36,58
U00219,C0019,Mar,626,32,43
U00220,C0019,Apr,889,27,64
U00221,C0019,May,782,44,79
U00222,C0019,Jun,882,52,86
U00223,C0019,Jul,623,33,78
U00224,C0019,Aug,483,51,63
U00225,C0019,Sep,940,41,39
U00226,C0019,Oct,514,21,88
U00227,C0019,Nov,917,30,71
U00228,C0019,Dec,949,27,45
U00229,C0020,Jan,735,51,63
U00230,C0020,Feb,519,31,80
U00231,C0020,Mar,900,23,67
U00232,C0020,Apr,856,21,64
U00233,C0020,May,535,50,61
U00234,C0020,Jun,867,54,38
U00235,C0020,Jul,873,37,81
U00236,C0020,Aug,422,43,51
U00237,C0020,Sep,403,31,72
U00238,C0020,Oct,474,20,62
U00239,C0020,Nov,752,22,69
U00240,C0020,Dec,461,22,65
U00241,C0021,Jan,432,36,61
U00242,C0021,Feb,584,26,84
U00243,C0021,Mar,830,41,59
U00244,C0021,Apr,859,42,59
U00245,C0021,May,482,52,43
U00246,C0021,Jun,756,25,46
U00247,C0021,Jul,950,43,68
U00248,C0021,Aug,530,32,88
U00249,C0021,Sep,403,19,54
U00250,C0021,Oct,874,52,62
U00251,C0021,Nov,944,42,87
U00252,C0021,Dec,635,33,64
U00253,C0022,Jan,754,27,52
U00254,C0022,Feb,593,25,37
U00255,C0022,Mar,829,19,50
U00256,C0022,Apr,611,22,41
U00257,C0022,May,434,46,73
U00258,C0022,Jun,449,33,82
U00259,C0022,Jul,445,43,63
U00260,C0022,Aug,639,52,48
U00261,C0022,Sep,457,26,67
U00262,C0022,Oct,696,32,87
U00263,C0022,Nov,726,54,73
U00264,C0022,Dec,728,33,54
U00265,C0023,Jan,546,51,49
U00266,C0023,Feb,823,37,52
U00267,C0023,Mar,462,53,72
U00268,C0023,Apr,579,45,70
U00269,C0023,May,907,21,57
U00270,C0023,Jun,790,51,55
U00271,C0023,Jul,826,44,44
U00272,C0023,Aug,707,42,46
U00273,C0023,Sep,950,48,50
U00274,C0023,Oct,630,37,89
U00275,C0023,Nov,547,47,38
U00276,C0023,Dec,822,44,70
U00277,C0024,Jan,942,26,59
U00278,C0024,Feb,648,34,48
U00279,C0024,Mar,738,23,63
U00280,C0024,Apr,779,23,69
U00281,C0024,May,595,21,52
U00282,C0024,Jun,786,20,90
U00283,C0024,Jul,474,30,86
U00284,C0024,Aug,622,48,48
U00285,C0024,Sep,740,37,35
U00286,C0024,Oct,616,30,82
U00287,C0024,Nov,520,48,50
U00288,C0024,Dec,609,43,50
U00289,C0025,Jan,729,36,59
U00290,C0025,Feb,877,52,76
U00291,C0025,Mar,767,37,51
U00292,C0025,Apr,768,50,66
U00293,C0025,May,877,24,86
U00294,C0025,Jun,880,38,48
U00295,C0025,Jul,779,38,61
U00296,C0025,Aug,446,54,90
U00297,C0025,Sep,626,27,36
U00298,C0025,Oct,667,53,72
U00299,C0025,Nov,827,36,44
U00300,C0025,Dec,600,39,49
U00301,C0026,Jan,177,80,18
U00302,C0026,Feb,220,86,11
U00303,C0026,Mar,275,96,18
U00304,C0026,Apr,197,75,14
U00305,C0026,May,123,73,20
U00306,C0026,Jun,205,76,20
U00307,C0026,Jul,244,68,19
U00308,C0026,Aug,88,69,4
U00309,C0026,Sep,275,65,16
U00310,C0026,Oct,115,79,5
U00311,C0026,Nov,261,74,3
U00312,C0026,Dec,135,97,17
U00313,C0027,Jan,782,21,74
U00314,C0027,Feb,894,49,36
U00315,C0027,Mar,406,52,70
U00316,C0027,Apr,821,18,36
U00317,C0027,May,942,35,69
U00318,C0027,Jun,693,19,67
U00319,C0027,Jul,840,29,41
U00320,C0027,Aug,498,51,44
U00321,C0027,Sep,646,30,74
U00322,C0027,Oct,939,34,87
U00323,C0027,Nov,762,35,85
U00324,C0027,Dec,806,23,58
U00325,C0028,Jan,815,47,71
U00326,C0028,Feb,649,32,54
U00327,C0028,Mar,482,20,40
U00328,C0028,Apr,815,42,59
U00329,C0028,May,887,21,75
U00330,C0028,Jun,409,28,40
U00331,C0028,Jul,911,45,76
U00332,C0028,Aug,739,54,89
U00333,C0028,Sep,497,51,37
U00334,C0028,Oct,635,31,90
U00335,C0028,Nov,886,35,37
U00336,C0028,Dec,476,35,69
U00337,C0029,Jan,224,67,8
U00338,C0029,Feb,297,85,3
U00339,C0029,Mar,133,74,15
U00340,C0029,Apr,99,84,8
U00341,C0029,May,224,80,15
U00342,C0029,Jun,253,99,13
U00343,C0029,Jul,178,73,5
U00344,C0029,Aug,208,87,4
U00345,C0029,Sep,105,92,10
U00346,C0029,Oct,294,69,13
U00347,C0029,Nov,234,90,13
U00348,C0029,Dec,87,82,17
U00349,C0030,Jan,902,32,57
U00350,C0030,Feb,784,45,46
U00351,C0030,Mar,789,23,84
U00352,C0030,Apr,702,33,80
U00353,C0030,May,475,23,52
U00354,C0030,Jun,557,42,80
U00355,C0030,Jul,557,42,55
U00356,C0030,Aug,769,24,40
U00357,C0030,Sep,405,37,63
U00358,C0030,Oct,768,35,41
U00359,C0030,Nov,535,23,46
U00360,C0030,Dec,841,46,70
U00361,C0031,Jan,924,44,41
U00362,C0031,Feb,426,23,57
U00363,C0031,Mar,495,38,90
U00364,C0031,Apr,794,18,53
U00365,C0031,May,823,42,84
U00366,C0031,Jun,486,53,50
U00367,C0031,Jul,933,28,78
U00368,C0031,Aug,789,28,43
U00369,C0031,Sep,675,37,52
U00370,C0031,Oct,904,27,39
U00371,C0031,Nov,571,45,52
U00372,C0031,Dec,831,37,65
U00373,C0032,Jan,478,41,51
U00374,C0032,Feb,652,49,73
U00375,C0032,Mar,600,47,41
U00376,C0032,Apr,538,37,35
U00377,C0032,May,805,39,88
U00378,C0032,Jun,789,39,63
U00379,C0032,Jul,742,45,87
U00380,C0032,Aug,539,37,55
U00381,C0032,Sep,605,48,55
U00382,C0032,Oct,581,43,55
U00383,C0032,Nov,698,49,71
U00384,C0032,Dec,648,38,59
U00385,C0033,Jan,687,43,58
U00386,C0033,Feb,516,54,47
U00387,C0033,Mar,584,53,36
U00388,C0033,Apr,872,31,63
U00389,C0033,May,698,22,87
U00390,C0033,Jun,818,49,43
U00391,C0033,Jul,710,33,51
U00392,C0033,Aug,557,45,85
U00393,C0033,Sep,786,22,63
U00394,C0033,Oct,890,55,60
U00395,C0033,Nov,947,50,90
U00396,C0033,Dec,828,52,37
U00397,C0034,Jan,282,88,20
U00398,C0034,Feb,232,70,6
U00399,C0034,Mar,276,80,14
U00400,C0034,Apr,122,67,15
U00401,C0034,May,272,86,16
U00402,C0034,Jun,107,65,6
U00403,C0034,Jul,146,79,19
U00404,C0034,Aug,271,98,20
U00405,C0034,Sep,228,79,17
U00406,C0034,Oct,175,90,17
U00407,C0034,Nov,277,97,7
U00408,C0034,Dec,168,66,18
U00409,C0035,Jan,106,83,16
U00410,C0035,Feb,101,72,7
U00411,C0035,Mar,169,84,13
U00412,C0035,Apr,196,78,19
U00413,C0035,May,203,87,18
U00414,C0035,Jun,104,93,17
U00415,C0035,Jul,161,69,12
U00416,C0035,Aug,91,72,3
U00417,C0035,Sep,297,86,6
U00418,C0035,Oct,253,75,10
U00419,C0035,Nov,212,76,20
U00420,C0035,Dec,120,86,20
U00421,C0036,Jan,189,94,10
U00422,C0036,Feb,284,90,8
U00423,C0036,Mar,127,92,15
U00424,C0036,Apr,87,77,17
U00425,C0036,May,231,92,15
U00426,C0036,Jun,81,78,9
U00427,C0036,Jul,151,69,6
U00428,C0036,Aug,284,99,8
U00429,C0036,Sep,173,85,9
U00430,C0036,Oct,197,72,11
U00431,C0036,Nov,251,96,19
U00432,C0036,Dec,243,85,15
U00433,C0037,Jan,801,55,42
U00434,C0037,Feb,756,40,89
U00435,C0037,Mar,868,29,87
U00436,C0037,Apr,704,55,40
U00437,C0037,May,537,38,42
U00438,C0037,Jun,644,37,42
U00439,C0037,Jul,587,41,79
U00440,C0037,Aug,544,50,59
U00441,C0037,Sep,828,26,71
U00442,C0037,Oct,792,45,46
U00443,C0037,Nov,898,52,79
U00444,C0037,Dec,577,53,45
U00445,C0038,Jan,901,36,43
U00446,C0038,Feb,591,38,88
U00447,C0038,Mar,861,21,90
U00448,C0038,Apr,767,18,66
U00449,C0038,May,539,30,87
U00450,C0038,Jun,793,53,67
U00451,C0038,Jul,906,44,78
U00452,C0038,Aug,903,44,80
U00453,C0038,Sep,854,49,45
U00454,C0038,Oct,484,54,36
U00455,C0038,Nov,625,36,37
U00456,C0038,Dec,681,32,69
U00457,C0039,Jan,695,28,84
U00458,C0039,Feb,868,54,82
U00459,C0039,Mar,907,53,67
U00460,C0039,Apr,515,54,42
U00461,C0039,May,674,52,87
U00462,C0039,Jun,775,52,87
U00463,C0039,Jul,442,46,69
U00464,C0039,Aug,623,45,41
U00465,C0039,Sep,653,37,90
U00466,C0039,Oct,433,46,51
U00467,C0039,Nov,756,23,63
U00468,C0039,Dec,520,33,48
U00469,C0040,Jan,287,87,16
U00470,C0040,Feb,122,73,9
U00471,C0040,Mar,288,78,4
U00472,C0040,Apr,225,87,20
U00473,C0040,May,151,99,8
U00474,C0040,Jun,162,83,12
U00475,C0040,Jul,226,82,19
U00476,C0040,Aug,253,71,7
U00477,C0040,Sep,272,91,4
U00478,C0040,Oct,150,73,7
U00479,C0040,Nov,143,74,13
U00480,C0040,Dec,292,80,15
U00481,C0041,Jan,901,27,71
U00482,C0041,Feb,675,44,59
U00483,C0041,Mar,862,22,75
U00484,C0041,Apr,495,43,67
U00485,C0041,May,684,41,64
U00486,C0041,Jun,899,38,72
U00487,C0041,Jul,402,23,81
U00488,C0041,Aug,869,40,89
U00489,C0041,Sep,464,52,60
U00490,C0041,Oct,623,45,87
U00491,C0041,Nov,616,49,52
U00492,C0041,Dec,730,36,56
U00493,C0042,Jan,533,54,89
U00494,C0042,Feb,896,39,78
U00495,C0042,Mar,449,20,41
U00496,C0042,Apr,870,19,42
U00497,C0042,May,561,46,64
U00498,C0042,Jun,400,45,47
U00499,C0042,Jul,535,37,45
U00500,C0042,Aug,680,23,76
U00501,C0042,Sep,769,34,40
U00502,C0042,Oct,780,28,38
U00503,C0042,Nov,805,37,81
U00504,C0042,Dec,639,45,76
U00505,C0043,Jan,493,24,35
U00506,C0043,Feb,618,48,39
U00507,C0043,Mar,535,55,49
U00508,C0043,Apr,931,46,35
U00509,C0043,May,408,39,87
U00510,C0043,Jun,523,45,79
U00511,C0043,Jul,535,48,39
U00512,C0043,Aug,634,42,40
U00513,C0043,Sep,504,24,55
U00514,C0043,Oct,776,37,43
U00515,C0043,Nov,791,26,76
U00516,C0043,Dec,546,22,68
U00517,C0044,Jan,408,28,63
U00518,C0044,Feb,759,31,75
U00519,C0044,Mar,555,44,74
U00520,C0044,Apr,853,31,40
U00521,C0044,May,502,26,83
U00522,C0044,Jun,526,55,81
U00523,C0044,Jul,793,40,62
U00524,C0044,Aug,722,26,50
U00525,C0044,Sep,683,23,50
U00526,C0044,Oct,691,19,89
U00527,C0044,Nov,708,31,68
U00528,C0044,Dec,921,30,82
U00529,C0045,Jan,801,36,76
U00530,C0045,Feb,455,33,66
U00531,C0045,Mar,795,25,50
U00532,C0045,Apr,911,22,68
U00533,C0045,May,412,41,55
U00534,C0045,Jun,535,42,90
U00535,C0045,Jul,830,41,69
U00536,C0045,Aug,576,48,84
U00537,C0045,Sep,474,19,72
U00538,C0045,Oct,469,18,51
U00539,C0045,Nov,620,20,38
U00540,C0045,Dec,807,50,53
U00541,C0046,Jan,240,97,16
U00542,C0046,Feb,188,90,5
U00543,C0046,Mar,243,99,20
U00544,C0046,Apr,237,74,11
U00545,C0046,May,101,84,5
U00546,C0046,Jun,210,78,7
U00547,C0046,Jul,217,85,15
U00548,C0046,Aug,230,69,12
U00549,C0046,Sep,258,92,10
U00550,C0046,Oct,94,80,5
U00551,C0046,Nov,191,72,17
U00552,C0046,Dec,236,68,12
U00553,C0047,Jan,579,25,35
U00554,C0047,Feb,540,18,45
U00555,C0047,Mar,908,40,68
U00556,C0047,Apr,929,34,45
U00557,C0047,May,780,26,82
U00558,C0047,Jun,675,25,84
U00559,C0047,Jul,430,39,86
U00560,C0047,Aug,839,35,68
U00561,C0047,Sep,465,34,80
U00562,C0047,Oct,478,49,64
U00563,C0047,Nov,923,41,38
U00564,C0047,Dec,911,54,45
U00565,C0048,Jan,174,75,11
U00566,C0048,Feb,277,71,6
U00567,C0048,Mar,138,97,3
U00568,C0048,Apr,91,65,10
U00569,C0048,May,91,95,14
U00570,C0048,Jun,178,74,8
U00571,C0048,Jul,299,67,20
U00572,C0048,Aug,285,91,10
U00573,C0048,Sep,162,80,16
U00574,C0048,Oct,264,85,11
U00575,C0048,Nov,291,69,14
U00576,C0048,Dec,110,97,4
U00577,C0049,Jan,125,79,19
U00578,C0049,Feb,91,90,5
U00579,C0049,Mar,199,83,12
U00580,C0049,Apr,163,70,20
U00581,C0049,May,196,65,14
U00582,C0049,Jun,131,83,12
U00583,C0049,Jul,269,80,17
U00584,C0049,Aug,174,96,9
U00585,C0049,Sep,267,99,10
U00586,C0049,Oct,118,65,16
U00587,C0049,Nov,86,79,20
U00588,C0049,Dec,168,65,13
U00589,C0050,Jan,401,42,89
U00590,C0050,Feb,714,24,48
U00591,C0050,Mar,942,33,61
U00592,C0050,Apr,903,21,44
U00593,C0050,May,686,23,37
U00594,C0050,Jun,637,51,61
U00595,C0050,Jul,781,47,82
U00596,C0050,Aug,486,55,41
U00597,C0050,Sep,917,26,75
U00598,C0050,Oct,803,22,72
U00599,C0050,Nov,463,45,77
U00600,C0050,Dec,533,33,53
U00601,C0051,Jan,146,85,15
U00602,C0051,Feb,259,85,13
U00603,C0051,Mar,195,82,10
U00604,C0051,Apr,99,77,7
U00605,C0051,May,279,71,7
U00606,C0051,Jun,107,75,17
U00607,C0051,Jul,199,85,16
U00608,C0051,Aug,110,99,14
U00609,C0051,Sep,277,78,17
U00610,C0051,Oct,158,94,11
U00611,C0051,Nov,298,72,5
U00612,C0051,Dec,120,84,4
U00613,C0052,Jan,620,38,44
U00614,C0052,Feb,493,33,57
U00615,C0052,Mar,805,50,38
U00616,C0052,Apr,706,34,87
U00617,C0052,May,578,19,60
U00618,C0052,Jun,863,53,82
U00619,C0052,Jul,655,24,64
U00620,C0052,Aug,504,26,42
U00621,C0052,Sep,412,21,88
U00622,C0052,Oct,627,26,47
U00623,C0052,Nov,810,41,78
U00624,C0052,Dec,486,55,72
U00625,C0053,Jan,146,69,3
U00626,C0053,Feb,96,77,17
U00627,C0053,Mar,287,73,5
U00628,C0053,Apr,296,86,6
U00629,C0053,May,90,94,4
U00630,C0053,Jun,123,92,15
U00631,C0053,Jul,207,66,15
U00632,C0053,Aug,254,92,8
U00633,C0053,Sep,170,78,8
U00634,C0053,Oct,150,82,17
U00635,C0053,Nov,118,67,10
U00636,C0053,Dec,245,83,18
U00637,C0054,Jan,185,100,18
U00638,C0054,Feb,95,70,11
U00639,C0054,Mar,178,73,16
U00640,C0054,Apr,131,98,10
U00641,C0054,May,241,99,3
U00642,C0054,Jun,177,87,18
U00643,C0054,Jul,219,96,14
U00644,C0054,Aug,224,97,13
U00645,C0054,Sep,179,82,8
U00646,C0054,Oct,86,85,10
U00647,C0054,Nov,87,82,4
U00648,C0054,Dec,287,95,19
U00649,C0055,Jan,766,55,49
U00650,C0055,Feb,563,24,50
U00651,C0055,Mar,646,35,69
U00652,C0055,Apr,457,32,71
U00653,C0055,May,797,40,88
U00654,C0055,Jun,577,29,50
U00655,C0055,Jul,725,40,72
U00656,C0055,Aug,428,40,71
U00657,C0055,Sep,545,54,47
U00658,C0055,Oct,904,52,54
U00659,C0055,Nov,579,49,37
U00660,C0055,Dec,492,21,49
U00661,C0056,Jan,624,19,68
U00662,C0056,Feb,889,18,56
U00663,C0056,Mar,606,26,56
U00664,C0056,Apr,581,38,38
U00665,C0056,May,422,27,72
U00666,C0056,Jun,545,25,89
U00667,C0056,Jul,938,41,39
U00668,C0056,Aug,782,43,72
U00669,C0056,Sep,503,39,54
U00670,C0056,Oct,730,26,45
U00671,C0056,Nov,847,49,76
U00672,C0056,Dec,724,29,80
U00673,C0057,Jan,223,87,10
U00674,C0057,Feb,250,76,15
U00675,C0057,Mar,158,83,7
U00676,C0057,Apr,125,65,15
U00677,C0057,May,297,67,8
U00678,C0057,Jun,234,85,10
U00679,C0057,Jul,243,71,18
U00680,C0057,Aug,116,86,5
U00681,C0057,Sep,140,87,13
U00682,C0057,Oct,122,70,13
U00683,C0057,Nov,194,65,11
U00684,C0057,Dec,133,80,5
U00685,C0058,Jan,169,81,6
U00686,C0058,Feb,264,65,4
U00687,C0058,Mar,178,93,16
U00688,C0058,Apr,122,91,18
U00689,C0058,May,176,87,20
U00690,C0058,Jun,176,71,18
U00691,C0058,Jul,281,79,8
U00692,C0058,Aug,195,69,4
U00693,C0058,Sep,155,66,13
U00694,C0058,Oct,146,71,5
U00695,C0058,Nov,167,75,15
U00696,C0058,Dec,121,69,20
U00697,C0059,Jan,495,39,73
U00698,C0059,Feb,894,19,62
U00699,C0059,Mar,568,45,45
U00700,C0059,Apr,454,24,56
U00701,C0059,May,610,30,61
U00702,C0059,Jun,671,36,54
U00703,C0059,Jul,643,24,38
U00704,C0059,Aug,802,54,70
U00705,C0059,Sep,902,27,38
U00706,C0059,Oct,769,18,62
U00707,C0059,Nov,489,36,87
U00708,C0059,Dec,891,30,41
U00709,C0060,Jan,426,31,45
U00710,C0060,Feb,698,23,65
U00711,C0060,Mar,518,37,85
U00712,C0060,Apr,807,48,66
U00713,C0060,May,671,23,76
U00714,C0060,Jun,796,29,58
U00715,C0060,Jul,790,41,46
U00716,C0060,Aug,856,20,51
U00717,C0060,Sep,850,47,51
U00718,C0060,Oct,631,35,71
U00719,C0060,Nov,463,27,83
U00720,C0060,Dec,499,23,77
U00721,C0061,Jan,752,52,61
U00722,C0061,Feb,632,53,38
U00723,C0061,Mar,796,51,61
U00724,C0061,Apr,948,48,71
U00725,C0061,May,641,48,54
U00726,C0061,Jun,480,43,89
U00727,C0061,Jul,435,50,71
U00728,C0061,Aug,929,54,78
U00729,C0061,Sep,550,25,83
U00730,C0061,Oct,859,29,45
U00731,C0061,Nov,616,30,43
U00732,C0061,Dec,443,45,40
U00733,C0062,Jan,254,92,9
U00734,C0062,Feb,290,74,11
U00735,C0062,Mar,161,69,5
U00736,C0062,Apr,179,100,15
U00737,C0062,May,221,85,11
U00738,C0062,Jun,213,94,3
U00739,C0062,Jul,281,98,16
U00740,C0062,Aug,108,91,7
U00741,C0062,Sep,117,71,6
U00742,C0062,Oct,224,71,12
U00743,C0062,Nov,217,87,16
U00744,C0062,Dec,147,89,18
U00745,C0063,Jan,226,95,4
U00746,C0063,Feb,124,82,15
U00747,C0063,Mar,116,90,4
U00748,C0063,Apr,181,86,10
U00749,C0063,May,92,95,11
U00750,C0063,Jun,175,66,13
U00751,C0063,Jul,289,84,12
U00752,C0063,Aug,151,96,6
U00753,C0063,Sep,138,73,12
U00754,C0063,Oct,270,93,13
U00755,C0063,Nov,148,91,5
U00756,C0063,Dec,128,93,9
U00757,C0064,Jan,816,49,83
U00758,C0064,Feb,928,41,87
U00759,C0064,Mar,457,50,85
U00760,C0064,Apr,562,22,54
U00761,C0064,May,918,43,43
U00762,C0064,Jun,936,54,36
U00763,C0064,Jul,577,30,88
U00764,C0064,Aug,605,21,50
U00765,C0064,Sep,433,47,38
U00766,C0064,Oct,769,30,52
U00767,C0064,Nov,777,47,67
U00768,C0064,Dec,806,25,78
U00769,C0065,Jan,431,33,58
U00770,C0065,Feb,900,46,46
U00771,C0065,Mar,885,55,70
U00772,C0065,Apr,758,40,45
U00773,C0065,May,664,23,53
U00774,C0065,Jun,428,42,38
U00775,C0065,Jul,566,54,84
U00776,C0065,Aug,619,32,76
U00777,C0065,Sep,630,31,52
U00778,C0065,Oct,819,50,36
U00779,C0065,Nov,409,48,43
U00780,C0065,Dec,577,18,49
U00781,C0066,Jan,658,37,80
